===============================================================================
Id,backtest-ma-orcl-1995-2014,len,datetime,open,high,low,close,volume,openinterest,adjclose,TestStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
60,backtest-ma-orcl-1995-2014,60,2000-03-28 23:59:59.999989,38.97,40.03,38.03,38.5,40516682.0,0.0,38.498257,TestStrategy,60,730207.9999999999,Broker,60,732.3,1117.3,BuySell,60,,,Trades - Net Profit/Loss,60,,
61,backtest-ma-orcl-1995-2014,61,2000-03-29 23:59:59.999989,38.28,38.3,36.5,36.69,58422453.0,0.0,36.691471,TestStrategy,61,730208.9999999999,Broker,61,732.3,1099.1999999999998,BuySell,61,,,Trades - Net Profit/Loss,61,,
62,backtest-ma-orcl-1995-2014,62,2000-03-30 23:59:59.999989,34.91,37.58,34.69,34.88,79805266.0,0.0,34.884693,TestStrategy,62,730209.9999999999,Broker,62,732.3,1081.1,BuySell,62,,,Trades - Net Profit/Loss,62,,
63,backtest-ma-orcl-1995-2014,63,2000-03-31 23:59:59.999989,35.66,36.27,33.8,34.72,89761527.0,0.0,34.717915,TestStrategy,63,730210.9999999999,Broker,63,1088.8999999999999,1088.8999999999999,BuySell,63,,36.81405,Trades - Net Profit/Loss,63,88.89999999999998,
64,backtest-ma-orcl-1995-2014,64,2000-04-03 23:59:59.999989,34.97,35.86,33.36,34.19,80493304.0,0.0,34.189777,TestStrategy,64,730213.9999999999,Broker,64,1088.8999999999999,1088.8999999999999,BuySell,64,,,Trades - Net Profit/Loss,64,,
65,backtest-ma-orcl-1995-2014,65,2000-04-04 23:59:59.999989,34.75,34.75,28.94,33.77,138994016.0,0.0,33.772827,TestStrategy,65,730214.9999999999,Broker,65,1088.8999999999999,1088.8999999999999,BuySell,65,,,Trades - Net Profit/Loss,65,,
66,backtest-ma-orcl-1995-2014,66,2000-04-05 23:59:59.999989,32.58,36.02,32.26,34.8,82897831.0,0.0,34.8013,TestStrategy,66,730215.9999999999,Broker,66,1088.8999999999999,1088.8999999999999,BuySell,66,,,Trades - Net Profit/Loss,66,,
67,backtest-ma-orcl-1995-2014,67,2000-04-06 23:59:59.999989,35.86,37.11,35.64,36.55,70161766.0,0.0,36.552486,TestStrategy,67,730216.9999999999,Broker,67,1088.8999999999999,1088.8999999999999,BuySell,67,,,Trades - Net Profit/Loss,67,,
68,backtest-ma-orcl-1995-2014,68,2000-04-07 23:59:59.999989,37.22,38.8,36.91,38.75,52574599.0,0.0,38.748425,TestStrategy,68,730217.9999999999,Broker,68,716.6999999999998,1104.1999999999998,BuySell,68,36.35635,,Trades - Net Profit/Loss,68,,
69,backtest-ma-orcl-1995-2014,69,2000-04-10 23:59:59.999989,38.92,38.97,36.58,36.69,63228577.0,0.0,36.691471,TestStrategy,69,730220.9999999999,Broker,69,716.6999999999998,1083.6,BuySell,69,,,Trades - Net Profit/Loss,69,,
